datetime,Grid Node From,Grid Node To,Value,unit
2021-06-01 00:00,US-WECC-CISO,US-WECC-PACW,0,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-SRP,-935,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-BANC,-462,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-BPAT,-1430,MWh
2021-06-01 00:00,US-WECC-CISO,MX,144,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-IID,-376,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-LDWP,-599,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-NEVP,-933,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-AZPS,-616,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-WALC,-20,MWh
2021-06-01 00:00,US-WECC-CISO,US-WECC-TIDC,544,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-AZPS,-647,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-BPAT,-1460,MWh
2021-06-01 01:00,US-WECC-CISO,MX,138,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-IID,-303,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-LDWP,-1657,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-BANC,-445,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-PACW,0,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-SRP,-1143,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-TIDC,543,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-WALC,-33,MWh
2021-06-01 01:00,US-WECC-CISO,US-WECC-NEVP,-956,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-PACW,-4,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-SRP,-1412,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-TIDC,515,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-WALC,-218,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-AZPS,-718,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-NEVP,-898,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-BANC,-309,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-BPAT,-1488,MWh
2021-06-01 02:00,US-WECC-CISO,MX,100,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-IID,-125,MWh
2021-06-01 02:00,US-WECC-CISO,US-WECC-LDWP,-2436,MWh
2021-06-01 03:00,US-WECC-CISO,US-WECC-AZPS,-695,MWh
2021-06-01 03:00,US-WECC-CISO,US-WECC-WALC,-299,MWh
2021-06-01 03:00,US-WECC-CISO,US-WECC-BANC,-407,MWh
