Grid Node,start_datetime,end_datetime,forecast,actual,unit
US-WECC-CISO,2022-06-01 00:00,2022-06-01 01:00,24300,26189,MWh
US-WECC-CISO,2022-06-01 01:00,2022-06-01 02:00,25782,27867,MWh
US-WECC-CISO,2022-06-01 02:00,2022-06-01 03:00,27311,28964,MWh
US-WECC-CISO,2022-06-01 03:00,2022-06-01 04:00,28030,29393,MWh
US-WECC-CISO,2022-06-01 04:00,2022-06-01 05:00,28268,29505,MWh
US-WECC-CISO,2022-06-01 05:00,2022-06-01 06:00,27495,28835,MWh
US-WECC-CISO,2022-06-01 06:00,2022-06-01 07:00,25657,26978,MWh
US-WECC-CISO,2022-06-01 07:00,2022-06-01 08:00,23718,24947,MWh
US-WECC-CISO,2022-06-01 08:00,2022-06-01 09:00,22552,23711,MWh
US-WECC-CISO,2022-06-01 09:00,2022-06-01 10:00,21620,22755,MWh
US-WECC-CISO,2022-06-01 10:00,2022-06-01 11:00,20932,21895,MWh
US-WECC-CISO,2022-06-01 11:00,2022-06-01 12:00,20526,21352,MWh
US-WECC-CISO,2022-06-01 12:00,2022-06-01 13:00,20737,21484,MWh
US-WECC-CISO,2022-06-01 13:00,2022-06-01 14:00,21644,22314,MWh
US-WECC-CISO,2022-06-01 14:00,2022-06-01 15:00,22488,23407,MWh
US-WECC-CISO,2022-06-01 15:00,2022-06-01 16:00,22887,24975,MWh
US-WECC-CISO,2022-06-01 16:00,2022-06-01 17:00,22730,25272,MWh
US-WECC-CISO,2022-06-01 17:00,2022-06-01 18:00,22198,24586,MWh
US-WECC-CISO,2022-06-01 18:00,2022-06-01 19:00,21856,24425,MWh
US-WECC-CISO,2022-06-01 19:00,2022-06-01 20:00,21817,24509,MWh
US-WECC-CISO,2022-06-01 20:00,2022-06-01 21:00,22322,25251,MWh
US-WECC-CISO,2022-06-01 21:00,2022-06-01 22:00,23504,26105,MWh
US-WECC-CISO,2022-06-01 22:00,2022-06-01 23:00,24962,27322,MWh
US-WECC-CISO,2022-06-01 23:00,2022-06-02 00:00,26747,28421,MWh
