datetime,Grid Node From,Grid Node To,Value,unit
2022-08-01 00:30:00+00:00,BE,UK-GB,828.0,MW
2022-08-01 00:30:00+00:00,FR,UK-GB,2058.0,MW
2022-08-01 00:30:00+00:00,NL,UK-GB,516.0,MW
2022-08-01 00:30:00+00:00,NO,UK-GB,1166.0,MW
2022-08-01 01:00:00+00:00,BE,UK-GB,828.0,MW
2022-08-01 01:00:00+00:00,FR,UK-GB,2060.0,MW
2022-08-01 01:00:00+00:00,NL,UK-GB,516.0,MW
2022-08-01 01:00:00+00:00,NO,UK-GB,1164.0,MW
2022-08-01 01:30:00+00:00,BE,UK-GB,1018.0,MW
2022-08-01 01:30:00+00:00,FR,UK-GB,2060.0,MW
2022-08-01 01:30:00+00:00,NL,UK-GB,568.0,MW
2022-08-01 01:30:00+00:00,NO,UK-GB,926.0,MW
2022-08-01 02:00:00+00:00,BE,UK-GB,1020.0,MW
2022-08-01 02:00:00+00:00,FR,UK-GB,2062.0,MW
2022-08-01 02:00:00+00:00,NL,UK-GB,568.0,MW
2022-08-01 02:00:00+00:00,NO,UK-GB,908.0,MW
2022-08-01 02:30:00+00:00,BE,UK-GB,1020.0,MW
2022-08-01 02:30:00+00:00,FR,UK-GB,2060.0,MW
2022-08-01 02:30:00+00:00,NL,UK-GB,200.0,MW
2022-08-01 02:30:00+00:00,NO,UK-GB,1074.0,MW
2022-08-01 03:00:00+00:00,BE,UK-GB,1020.0,MW
2022-08-01 03:00:00+00:00,FR,UK-GB,2062.0,MW
2022-08-01 03:00:00+00:00,NL,UK-GB,200.0,MW
2022-08-01 03:00:00+00:00,NO,UK-GB,1092.0,MW
2022-08-01 03:30:00+00:00,BE,UK-GB,1020.0,MW
2022-08-01 03:30:00+00:00,FR,UK-GB,2062.0,MW
2022-08-01 03:30:00+00:00,NL,UK-GB,608.0,MW
2022-08-01 03:30:00+00:00,NO,UK-GB,1038.0,MW
2022-08-01 04:00:00+00:00,BE,UK-GB,1020.0,MW
