datetime,Fuel Type,Value,Grid Node,unit
2021-01-01,WIND_ON_SHORE,12937,UK-GB,MW
2021-01-01,WIND_OFF_SHORE,12160,UK-GB,MW
2021-01-01,SOLAR,13378,UK-GB,MW
2021-01-01,OTHER_RENEWABLE,1900,UK-GB,MW
2021-01-01,OTHER,2808,UK-GB,MW
2021-01-01,NUCLEAR,8256,UK-GB,MW
2021-01-01,HYDRO_RUN_OF_RIVER,1919,UK-GB,MW
2021-01-01,HYDRO_PUMPED_STORAGE,4309,UK-GB,MW
2021-01-01,OTHER_OIL,0,UK-GB,MW
2021-01-01,HARD_COAL,5241,UK-GB,MW
2021-01-01,OTHER_GAS,39822,UK-GB,MW
2021-01-01,BIOMASS,4528,UK-GB,MW
2022-01-01,WIND_ON_SHORE,13219,UK-GB,MW
2022-01-01,WIND_OFF_SHORE,14111,UK-GB,MW
2022-01-01,SOLAR,13324,UK-GB,MW
2022-01-01,OTHER_RENEWABLE,1549,UK-GB,MW
2022-01-01,OTHER,3357,UK-GB,MW
2022-01-01,NUCLEAR,9256,UK-GB,MW
2022-01-01,HYDRO_RUN_OF_RIVER,4190,UK-GB,MW
2022-01-01,HARD_COAL,1491,UK-GB,MW
2022-01-01,OTHER_GAS,38985,UK-GB,MW
2022-01-01,BIOMASS,4572,UK-GB,MW
2022-01-01,HYDRO_PUMPED_STORAGE,1928,UK-GB,MW
2023-01-01,WIND_ON_SHORE,13907,UK-GB,MW
2023-01-01,WIND_OFF_SHORE,13038,UK-GB,MW
2023-01-01,SOLAR,14518,UK-GB,MW
2023-01-01,OTHER_RENEWABLE,1462,UK-GB,MW
2023-01-01,OTHER,3313,UK-GB,MW
2023-01-01,NUCLEAR,4950,UK-GB,MW
2023-01-01,HYDRO_RUN_OF_RIVER,2063,UK-GB,MW
2023-01-01,HYDRO_PUMPED_STORAGE,5603,UK-GB,MW
2023-01-01,HARD_COAL,1491,UK-GB,MW
2023-01-01,OTHER_GAS,37047,UK-GB,MW
2023-01-01,BIOMASS,4438,UK-GB,MW
