nationalBoundaryIdentifier,settlementDate,settlementPeriod,recordType,publishingPeriodCommencingTime,demand,activeFlag,spnDemand,spnGeneration
N,2022-01-01,1,DANF,2021-12-31 23:45:00,21690,Y,,
N,2022-01-01,2,DANF,2022-01-01 00:15:00,21830,Y,,
N,2022-01-01,3,DANF,2022-01-01 00:45:00,21335,Y,,
N,2022-01-01,4,DANF,2022-01-01 01:15:00,20239,Y,,
N,2022-01-01,5,DANF,2022-01-01 01:45:00,19224,Y,,
N,2022-01-01,6,DANF,2022-01-01 02:15:00,18697,Y,,
N,2022-01-01,7,DANF,2022-01-01 02:45:00,17591,Y,,
N,2022-01-01,8,DANF,2022-01-01 03:15:00,17096,Y,,
N,2022-01-01,9,DANF,2022-01-01 03:45:00,16615,Y,,
N,2022-01-01,10,DANF,2022-01-01 04:15:00,16200,Y,,
N,2022-01-01,11,DANF,2022-01-01 04:45:00,16215,Y,,
N,2022-01-01,12,DANF,2022-01-01 05:15:00,16410,Y,,
N,2022-01-01,13,DANF,2022-01-01 05:45:00,17293,Y,,
N,2022-01-01,14,DANF,2022-01-01 06:15:00,17591,Y,,
N,2022-01-01,15,DANF,2022-01-01 06:45:00,18009,Y,,
N,2022-01-01,16,DANF,2022-01-01 07:15:00,18251,Y,,
N,2022-01-01,17,DANF,2022-01-01 07:45:00,18624,Y,,
N,2022-01-01,18,DANF,2022-01-01 08:15:00,19120,Y,,
N,2022-01-01,19,DANF,2022-01-01 08:15:00,20094,Y,,
N,2022-01-01,20,DANF,2022-01-01 09:15:00,21051,Y,,
N,2022-01-01,21,DANF,2022-01-01 09:45:00,21920,Y,,
N,2022-01-01,22,DANF,2022-01-01 10:15:00,22534,Y,,
N,2022-01-01,23,DANF,2022-01-01 10:45:00,22858,Y,,
N,2022-01-01,24,DANF,2022-01-01 11:15:00,23208,Y,,
N,2022-01-01,25,DANF,2022-01-01 11:45:00,23621,Y,,
N,2022-01-01,26,DANF,2022-01-01 12:15:00,23830,Y,,
N,2022-01-01,27,DANF,2022-01-01 12:45:00,23890,Y,,
N,2022-01-01,28,DANF,2022-01-01 13:15:00,23690,Y,,
N,2022-01-01,29,DANF,2022-01-01 13:45:00,24096,Y,,
N,2022-01-01,30,DANF,2022-01-01 14:15:00,24548,Y,,
N,2022-01-01,31,DANF,2022-01-01 14:45:00,25228,Y,,
N,2022-01-01,32,DANF,2022-01-01 15:15:00,26051,Y,,
N,2022-01-01,33,DANF,2022-01-01 15:45:00,27638,Y,,
N,2022-01-01,34,DANF,2022-01-01 16:15:00,29548,Y,,
N,2022-01-01,35,DANF,2022-01-01 16:45:00,30300,Y,,
N,2022-01-01,36,DANF,2022-01-01 17:15:00,30287,Y,,
N,2022-01-01,37,DANF,2022-01-01 17:45:00,29823,Y,,
N,2022-01-01,38,DANF,2022-01-01 18:15:00,29095,Y,,
