DocumentType,BusinessType,ProcessType,TimeSeriesID,Quantity,CurveType,Resolution,SettlementDate,SettlementPeriod,PowerSystemResourceType,ActiveFlag,DocumentID,DocumentRevNum,datetime
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904820,1771.0,Sequential fixed size block,PT30M,2022-01-01,47,Biomass,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904819,151.0,Sequential fixed size block,PT30M,2022-01-01,47,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904818,244.0,Sequential fixed size block,PT30M,2022-01-01,47,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904817,0.0,Sequential fixed size block,PT30M,2022-01-01,47,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904816,3199.0,Sequential fixed size block,PT30M,2022-01-01,47,Fossil Gas,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904815,0.0,Sequential fixed size block,PT30M,2022-01-01,47,Fossil Oil,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904814,6794.0,Sequential fixed size block,PT30M,2022-01-01,47,Nuclear,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904813,152.0,Sequential fixed size block,PT30M,2022-01-01,47,Other,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904812,5601.031,Sequential fixed size block,PT30M,2022-01-01,47,Wind Onshore,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904811,6085.368,Sequential fixed size block,PT30M,2022-01-01,47,Wind Offshore,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904810,0.0,Sequential fixed size block,PT30M,2022-01-01,47,Solar,Y,NGET-EMFIP-AGPT-06398905,1,2022-01-01 23:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904809,1576.0,Sequential fixed size block,PT30M,2022-01-01,46,Biomass,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904808,13.0,Sequential fixed size block,PT30M,2022-01-01,46,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904807,244.0,Sequential fixed size block,PT30M,2022-01-01,46,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904806,0.0,Sequential fixed size block,PT30M,2022-01-01,46,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904805,2766.0,Sequential fixed size block,PT30M,2022-01-01,46,Fossil Gas,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904804,0.0,Sequential fixed size block,PT30M,2022-01-01,46,Fossil Oil,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904803,6791.0,Sequential fixed size block,PT30M,2022-01-01,46,Nuclear,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904802,167.0,Sequential fixed size block,PT30M,2022-01-01,46,Other,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904801,5742.872,Sequential fixed size block,PT30M,2022-01-01,46,Wind Onshore,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904800,6303.394,Sequential fixed size block,PT30M,2022-01-01,46,Wind Offshore,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Solar generation,Realised,NGET-EMFIP-AGPT-TS-21904799,0.0,Sequential fixed size block,PT30M,2022-01-01,46,Solar,Y,NGET-EMFIP-AGPT-06398904,1,2022-01-01 23:00:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904798,1475.0,Sequential fixed size block,PT30M,2022-01-01,45,Biomass,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904797,404.0,Sequential fixed size block,PT30M,2022-01-01,45,Hydro Pumped Storage,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904796,271.0,Sequential fixed size block,PT30M,2022-01-01,45,Hydro Run-of-river and poundage,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904795,0.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Hard coal,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904794,2983.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Gas,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904793,0.0,Sequential fixed size block,PT30M,2022-01-01,45,Fossil Oil,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904792,6788.0,Sequential fixed size block,PT30M,2022-01-01,45,Nuclear,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Production,Realised,NGET-EMFIP-AGPT-TS-21904791,153.0,Sequential fixed size block,PT30M,2022-01-01,45,Other,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904790,5658.911,Sequential fixed size block,PT30M,2022-01-01,45,Wind Onshore,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
Actual generation per type,Wind generation,Realised,NGET-EMFIP-AGPT-TS-21904789,5756.591,Sequential fixed size block,PT30M,2022-01-01,45,Wind Offshore,Y,NGET-EMFIP-AGPT-06398903,1,2022-01-01 22:30:00+00:00
