datetime,Grid Node,unit,Fuel Type,Value,value
2023-04-15 00:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,967.0
2023-04-15 01:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,967.0
2023-04-15 02:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,967.0
2023-04-15 03:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,966.0
2023-04-15 04:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,966.0
2023-04-15 05:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,966.0
2023-04-15 06:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,965.0
2023-04-15 07:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,963.0
2023-04-15 08:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,963.0
2023-04-15 09:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,962.0
2023-04-15 10:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,962.0
2023-04-15 11:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,961.0
2023-04-15 12:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,961.0
2023-04-15 13:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,961.0
2023-04-15 14:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,959.0
2023-04-15 15:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 16:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 17:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 18:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 19:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 20:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 21:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,957.0
2023-04-15 22:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,958.0
2023-04-15 23:00:00,ES-ALMARAZ-1,MWh,NUCLEAR,,957.0
