Grid Node From,Grid Node To,Value,unit,start_datetime,end_datetime
ES,FR,0,MWh,2022-11-01 00:00,2022-11-01 01:00
ES,FR,0,MWh,2022-11-01 01:00,2022-11-01 02:00
ES,FR,0,MWh,2022-11-01 02:00,2022-11-01 03:00
ES,FR,0,MWh,2022-11-01 03:00,2022-11-01 04:00
ES,FR,0,MWh,2022-11-01 04:00,2022-11-01 05:00
ES,FR,0,MWh,2022-11-01 05:00,2022-11-01 06:00
ES,FR,0,MWh,2022-11-01 06:00,2022-11-01 07:00
ES,FR,0,MWh,2022-11-01 07:00,2022-11-01 08:00
ES,FR,0,MWh,2022-11-01 08:00,2022-11-01 09:00
ES,FR,0,MWh,2022-11-01 09:00,2022-11-01 10:00
ES,FR,0,MWh,2022-11-01 10:00,2022-11-01 11:00
ES,FR,0,MWh,2022-11-01 11:00,2022-11-01 12:00
ES,FR,0,MWh,2022-11-01 12:00,2022-11-01 13:00
ES,FR,0,MWh,2022-11-01 13:00,2022-11-01 14:00
ES,FR,0,MWh,2022-11-01 14:00,2022-11-01 15:00
ES,FR,8,MWh,2022-11-01 15:00,2022-11-01 16:00
ES,FR,0,MWh,2022-11-01 16:00,2022-11-01 17:00
ES,FR,0,MWh,2022-11-01 17:00,2022-11-01 18:00
ES,FR,0,MWh,2022-11-01 18:00,2022-11-01 19:00
ES,FR,0,MWh,2022-11-01 19:00,2022-11-01 20:00
ES,FR,0,MWh,2022-11-01 20:00,2022-11-01 21:00
ES,FR,0,MWh,2022-11-01 21:00,2022-11-01 22:00
ES,FR,0,MWh,2022-11-01 22:00,2022-11-01 23:00
ES,FR,0,MWh,2022-11-01 23:00,2022-11-02 00:00
FR,ES,2894,MWh,2022-11-01 00:00,2022-11-01 01:00
FR,ES,2722,MWh,2022-11-01 01:00,2022-11-01 02:00
FR,ES,2796,MWh,2022-11-01 02:00,2022-11-01 03:00
FR,ES,2820,MWh,2022-11-01 03:00,2022-11-01 04:00
FR,ES,2872,MWh,2022-11-01 04:00,2022-11-01 05:00
FR,ES,2922,MWh,2022-11-01 05:00,2022-11-01 06:00
FR,ES,2944,MWh,2022-11-01 06:00,2022-11-01 07:00
FR,ES,2383,MWh,2022-11-01 07:00,2022-11-01 08:00
FR,ES,1150,MWh,2022-11-01 08:00,2022-11-01 09:00
FR,ES,1771,MWh,2022-11-01 09:00,2022-11-01 10:00
FR,ES,2172,MWh,2022-11-01 10:00,2022-11-01 11:00
FR,ES,2103,MWh,2022-11-01 11:00,2022-11-01 12:00
FR,ES,2413,MWh,2022-11-01 12:00,2022-11-01 13:00
FR,ES,2150,MWh,2022-11-01 13:00,2022-11-01 14:00
FR,ES,1424,MWh,2022-11-01 14:00,2022-11-01 15:00
FR,ES,410,MWh,2022-11-01 15:00,2022-11-01 16:00
FR,ES,1215,MWh,2022-11-01 16:00,2022-11-01 17:00
FR,ES,2154,MWh,2022-11-01 17:00,2022-11-01 18:00
FR,ES,2827,MWh,2022-11-01 18:00,2022-11-01 19:00
FR,ES,2883,MWh,2022-11-01 19:00,2022-11-01 20:00
FR,ES,2821,MWh,2022-11-01 20:00,2022-11-01 21:00
FR,ES,2843,MWh,2022-11-01 21:00,2022-11-01 22:00
FR,ES,2863,MWh,2022-11-01 22:00,2022-11-01 23:00
FR,ES,3221,MWh,2022-11-01 23:00,2022-11-02 00:00
