Fuel Type,Value,Grid Node,datetime,unit
BIOMASS,0,ES,2022-01-01 00:00:00+00:00,MW
BROWN_COAL,0,ES,2022-01-01 00:00:00+00:00,MW
COAL_DERIVED_GAS,0,ES,2022-01-01 00:00:00+00:00,MW
OTHER_GAS,0,ES,2022-01-01 00:00:00+00:00,MW
HARD_COAL,0,ES,2022-01-01 00:00:00+00:00,MW
OTHER_OIL,97,ES,2022-01-01 00:00:00+00:00,MW
SHALE_OIL,0,ES,2022-01-01 00:00:00+00:00,MW
PEAT,0,ES,2022-01-01 00:00:00+00:00,MW
GEOTHERMAL,0,ES,2022-01-01 00:00:00+00:00,MW
HYDRO_PUMPED_STORAGE,0,ES,2022-01-01 00:00:00+00:00,MW
HYDRO_RUN_OF_RIVER,527,ES,2022-01-01 00:00:00+00:00,MW
HYDRO_RESERVOIR,1676,ES,2022-01-01 00:00:00+00:00,MW
HYDRO,0,ES,2022-01-01 00:00:00+00:00,MW
NUCLEAR,0,ES,2022-01-01 00:00:00+00:00,MW
OTHER,0,ES,2022-01-01 00:00:00+00:00,MW
OTHER_RENEWABLE,0,ES,2022-01-01 00:00:00+00:00,MW
SOLAR,0,ES,2022-01-01 00:00:00+00:00,MW
WASTE,0,ES,2022-01-01 00:00:00+00:00,MW
WIND_OFF_SHORE,0,ES,2022-01-01 00:00:00+00:00,MW
WIND_ON_SHORE,0,ES,2022-01-01 00:00:00+00:00,MW
