"Time (UTC)","BZN|FR > BZN|ES [MW]","BZN|ES > BZN|FR [MW]"
"01.11.2022 00:00 - 01.11.2022 01:00","2894","0"
"01.11.2022 01:00 - 01.11.2022 02:00","2722","0"
"01.11.2022 02:00 - 01.11.2022 03:00","2796","0"
"01.11.2022 03:00 - 01.11.2022 04:00","2820","0"
"01.11.2022 04:00 - 01.11.2022 05:00","2872","0"
"01.11.2022 05:00 - 01.11.2022 06:00","2922","0"
"01.11.2022 06:00 - 01.11.2022 07:00","2944","0"
"01.11.2022 07:00 - 01.11.2022 08:00","2383","0"
"01.11.2022 08:00 - 01.11.2022 09:00","1150","0"
"01.11.2022 09:00 - 01.11.2022 10:00","1771","0"
"01.11.2022 10:00 - 01.11.2022 11:00","2172","0"
"01.11.2022 11:00 - 01.11.2022 12:00","2103","0"
"01.11.2022 12:00 - 01.11.2022 13:00","2413","0"
"01.11.2022 13:00 - 01.11.2022 14:00","2150","0"
"01.11.2022 14:00 - 01.11.2022 15:00","1424","0"
"01.11.2022 15:00 - 01.11.2022 16:00","410","8"
"01.11.2022 16:00 - 01.11.2022 17:00","1215","0"
"01.11.2022 17:00 - 01.11.2022 18:00","2154","0"
"01.11.2022 18:00 - 01.11.2022 19:00","2827","0"
"01.11.2022 19:00 - 01.11.2022 20:00","2883","0"
"01.11.2022 20:00 - 01.11.2022 21:00","2821","0"
"01.11.2022 21:00 - 01.11.2022 22:00","2843","0"
"01.11.2022 22:00 - 01.11.2022 23:00","2863","0"
"01.11.2022 23:00 - 02.11.2022 00:00","3221","0"
