period,respondent,respondent-name,fueltype,type-name,value,value-units
2021-06-01T00,CISO,California Independent System Operator,WAT,Hydro,1818,megawatthours
2021-06-01T00,CISO,California Independent System Operator,OIL,Petroleum,81,megawatthours
2021-06-01T00,CISO,California Independent System Operator,COL,Coal,19,megawatthours
2021-06-01T00,CISO,California Independent System Operator,NG,Natural gas,10055,megawatthours
2021-06-01T00,CISO,California Independent System Operator,WND,Wind,1392,megawatthours
2021-06-01T00,CISO,California Independent System Operator,OTH,Other,-49,megawatthours
2021-06-01T00,CISO,California Independent System Operator,NUC,Nuclear,2278,megawatthours
2021-06-01T00,CISO,California Independent System Operator,SUN,Solar,8844,megawatthours
2021-06-01T01,CISO,California Independent System Operator,COL,Coal,19,megawatthours
2021-06-01T01,CISO,California Independent System Operator,NG,Natural gas,10982,megawatthours
2021-06-01T01,CISO,California Independent System Operator,SUN,Solar,6288,megawatthours
2021-06-01T01,CISO,California Independent System Operator,WND,Wind,1892,megawatthours
2021-06-01T01,CISO,California Independent System Operator,WAT,Hydro,2487,megawatthours
2021-06-01T01,CISO,California Independent System Operator,NUC,Nuclear,2279,megawatthours
2021-06-01T01,CISO,California Independent System Operator,OTH,Other,193,megawatthours
2021-06-01T01,CISO,California Independent System Operator,OIL,Petroleum,81,megawatthours
2021-06-01T02,CISO,California Independent System Operator,SUN,Solar,2132,megawatthours
2021-06-01T02,CISO,California Independent System Operator,OTH,Other,227,megawatthours
2021-06-01T02,CISO,California Independent System Operator,COL,Coal,20,megawatthours
2021-06-01T02,CISO,California Independent System Operator,NG,Natural gas,13499,megawatthours
2021-06-01T02,CISO,California Independent System Operator,WND,Wind,1914,megawatthours
2021-06-01T02,CISO,California Independent System Operator,OIL,Petroleum,81,megawatthours
2021-06-01T02,CISO,California Independent System Operator,NUC,Nuclear,2278,megawatthours
2021-06-01T02,CISO,California Independent System Operator,WAT,Hydro,3099,megawatthours
2021-06-01T03,CISO,California Independent System Operator,OTH,Other,136,megawatthours
2021-06-01T03,CISO,California Independent System Operator,WND,Wind,2408,megawatthours
2021-06-01T03,CISO,California Independent System Operator,WAT,Hydro,2999,megawatthours
2021-06-01T03,CISO,California Independent System Operator,NUC,Nuclear,2278,megawatthours
2021-06-01T03,CISO,California Independent System Operator,NG,Natural gas,14074,megawatthours
2021-06-01T03,CISO,California Independent System Operator,COL,Coal,18,megawatthours
2021-06-01T03,CISO,California Independent System Operator,OIL,Petroleum,81,megawatthours
2021-06-01T03,CISO,California Independent System Operator,SUN,Solar,-8,megawatthours
