period,stateid,stateName,sector,sectorName,entityid,entityName,plantid,plantName,generatorid,unit,technology,energy_source_code,energy-source-desc,prime_mover_code,balancing_authority_code,balancing-authority-name,status,statusDescription,nameplate-capacity-mw,nameplate-capacity-mw-units
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,18320,Sunrise Power Co LLC,55182,Sunrise Power LLC,STG,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,CISO,California Independent System Operator,OP,Operating,264.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,18320,Sunrise Power Co LLC,55182,Sunrise Power LLC,X718,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,CISO,California Independent System Operator,OP,Operating,210.6,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,18194,"STS Hydropower, LLC",54654,Kekawaka Power House,KEK1,,Conventional Hydroelectric,WAT,Water,HY,CISO,California Independent System Operator,OA,Out of service but expected to return to service in next calendar year,4.9,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,18194,"STS Hydropower, LLC",54653,Kanaka,KAN1,,Conventional Hydroelectric,WAT,Water,HY,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,1.1,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,18320,Sunrise Power Co LLC,55182,Sunrise Power LLC,X719,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,CISO,California Independent System Operator,OP,Operating,210.6,MW
2021-06,CA,California,ipp-chp,IPP CHP,18390,Sycamore Cogeneration Co,50134,Sycamore Cogeneration,GTAG,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,75.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,18390,Sycamore Cogeneration Co,50134,Sycamore Cogeneration,GTBG,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,75.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,18390,Sycamore Cogeneration Co,50134,Sycamore Cogeneration,GTCG,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,75.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,18390,Sycamore Cogeneration Co,50134,Sycamore Cogeneration,GTDG,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,75.0,MW
2021-06,CA,California,ipp-chp,IPP CHP,20323,"Wellhead Services, Inc",10156,Fresno Cogen Partners,GEN3,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,18.6,MW
2021-06,CA,California,ipp-chp,IPP CHP,20323,"Wellhead Services, Inc",10156,Fresno Cogen Partners,GEN4,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CT,CISO,California Independent System Operator,OP,Operating,52.2,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,20323,"Wellhead Services, Inc",55538,Escondido Energy Center,CTG1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,54.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,20323,"Wellhead Services, Inc",55540,Chula Vista Energy Center,GEN1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,37.2,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,20323,"Wellhead Services, Inc",55874,Panoche Peaker,8,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,56.7,MW
2021-06,CA,California,ipp-chp,IPP CHP,20323,"Wellhead Services, Inc",52186,Yuba City Cogen Partners,GEN1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,49.9,MW
2021-06,CA,California,ipp-chp,IPP CHP,20323,"Wellhead Services, Inc",10156,Fresno Cogen Partners,GEN2,CC1,Natural Gas Fired Combined Cycle,NG,Natural Gas,CA,CISO,California Independent System Operator,OP,Operating,10.0,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,49981,Diamond Generating Corporation,57483,Mariposa Energy Project,CTG4,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,49.9,MW
2021-06,CA,California,commercial-chp,Commercial CHP,39245,Saint John's Health Center,50610,Saint Johns Health Center,1,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OP,Operating,1.2,MW
2021-06,CA,California,ipp-non-chp,IPP Non-CHP,50123,"Leeward Asset Management, LLC",56295,Kumeyaay Wind,1,,Onshore Wind Turbine,WND,Wind,WT,CISO,California Independent System Operator,OP,Operating,50.0,MW
2021-06,CA,California,industrial-chp,Industrial CHP,49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,TG5,,Conventional Steam Coal,RC,Refined Coal,ST,CISO,California Independent System Operator,SB,Standby/Backup: available for service but not normally used,7.5,MW
2021-06,CA,California,industrial-chp,Industrial CHP,49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,TG8,,Conventional Steam Coal,RC,Refined Coal,ST,CISO,California Independent System Operator,OP,Operating,27.5,MW
2021-06,CA,California,industrial-chp,Industrial CHP,49968,Searles Valley Minerals Operations Inc.,10684,Argus Cogen Plant,TG9,,Conventional Steam Coal,RC,Refined Coal,ST,CISO,California Independent System Operator,OP,Operating,27.5,MW
2021-06,CA,California,industrial-chp,Industrial CHP,49968,Searles Valley Minerals Operations Inc.,10685,Westend Facility,PINA,,Natural Gas Fired Combustion Turbine,NG,Natural Gas,GT,CISO,California Independent System Operator,OS,Out of service and NOT expected to return to service in next calendar year,20.0,MW
