period,fromba,fromba-name,toba,toba-name,value,value-units
2021-06-01T00,CISO,California Independent System Operator,PACW,PacifiCorp West,0,megawatthours
2021-06-01T00,CISO,California Independent System Operator,SRP,Salt River Project Agricultural Improvement and Power District,-935,megawatthours
2021-06-01T00,CISO,California Independent System Operator,BANC,Balancing Authority of Northern California,-462,megawatthours
2021-06-01T00,CISO,California Independent System Operator,BPAT,Bonneville Power Administration,-1430,megawatthours
2021-06-01T00,CISO,California Independent System Operator,CEN,Centro Nacional de Control de Energia,144,megawatthours
2021-06-01T00,CISO,California Independent System Operator,IID,Imperial Irrigation District,-376,megawatthours
2021-06-01T00,CISO,California Independent System Operator,LDWP,Los Angeles Department of Water and Power,-599,megawatthours
2021-06-01T00,CISO,California Independent System Operator,NEVP,Nevada Power Company,-933,megawatthours
2021-06-01T00,CISO,California Independent System Operator,AZPS,Arizona Public Service Company,-616,megawatthours
2021-06-01T00,CISO,California Independent System Operator,WALC,Western Area Power Administration - Desert Southwest Region,-20,megawatthours
2021-06-01T00,CISO,California Independent System Operator,TIDC,Turlock Irrigation District,544,megawatthours
2021-06-01T01,CISO,California Independent System Operator,AZPS,Arizona Public Service Company,-647,megawatthours
2021-06-01T01,CISO,California Independent System Operator,BPAT,Bonneville Power Administration,-1460,megawatthours
2021-06-01T01,CISO,California Independent System Operator,CEN,Centro Nacional de Control de Energia,138,megawatthours
2021-06-01T01,CISO,California Independent System Operator,IID,Imperial Irrigation District,-303,megawatthours
2021-06-01T01,CISO,California Independent System Operator,LDWP,Los Angeles Department of Water and Power,-1657,megawatthours
2021-06-01T01,CISO,California Independent System Operator,BANC,Balancing Authority of Northern California,-445,megawatthours
2021-06-01T01,CISO,California Independent System Operator,PACW,PacifiCorp West,0,megawatthours
2021-06-01T01,CISO,California Independent System Operator,SRP,Salt River Project Agricultural Improvement and Power District,-1143,megawatthours
2021-06-01T01,CISO,California Independent System Operator,TIDC,Turlock Irrigation District,543,megawatthours
2021-06-01T01,CISO,California Independent System Operator,WALC,Western Area Power Administration - Desert Southwest Region,-33,megawatthours
2021-06-01T01,CISO,California Independent System Operator,NEVP,Nevada Power Company,-956,megawatthours
