period,respondent,respondent-name,type,type-name,value,value-units
2022-06-01T00,CISO,California Independent System Operator,TI,Total interchange,-3372,megawatthours
2022-06-01T00,CISO,California Independent System Operator,NG,Net generation,22846,megawatthours
2022-06-01T00,CISO,California Independent System Operator,D,Demand,26189,megawatthours
2022-06-01T00,CISO,California Independent System Operator,DF,Day-ahead demand forecast,24300,megawatthours
2022-06-01T01,CISO,California Independent System Operator,D,Demand,27867,megawatthours
2022-06-01T01,CISO,California Independent System Operator,TI,Total interchange,-4455,megawatthours
2022-06-01T01,CISO,California Independent System Operator,NG,Net generation,23214,megawatthours
2022-06-01T01,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25782,megawatthours
2022-06-01T02,CISO,California Independent System Operator,D,Demand,28964,megawatthours
2022-06-01T02,CISO,California Independent System Operator,TI,Total interchange,-5637,megawatthours
2022-06-01T02,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27311,megawatthours
2022-06-01T02,CISO,California Independent System Operator,NG,Net generation,21401,megawatthours
2022-06-01T03,CISO,California Independent System Operator,D,Demand,29393,megawatthours
2022-06-01T03,CISO,California Independent System Operator,TI,Total interchange,-7485,megawatthours
2022-06-01T03,CISO,California Independent System Operator,NG,Net generation,20535,megawatthours
2022-06-01T03,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28030,megawatthours
2022-06-01T04,CISO,California Independent System Operator,D,Demand,29505,megawatthours
2022-06-01T04,CISO,California Independent System Operator,NG,Net generation,20566,megawatthours
2022-06-01T04,CISO,California Independent System Operator,TI,Total interchange,-8069,megawatthours
2022-06-01T04,CISO,California Independent System Operator,DF,Day-ahead demand forecast,28268,megawatthours
2022-06-01T05,CISO,California Independent System Operator,TI,Total interchange,-8238,megawatthours
2022-06-01T05,CISO,California Independent System Operator,NG,Net generation,17726,megawatthours
2022-06-01T05,CISO,California Independent System Operator,D,Demand,28835,megawatthours
2022-06-01T05,CISO,California Independent System Operator,DF,Day-ahead demand forecast,27495,megawatthours
2022-06-01T06,CISO,California Independent System Operator,TI,Total interchange,-9162,megawatthours
2022-06-01T06,CISO,California Independent System Operator,NG,Net generation,15741,megawatthours
2022-06-01T06,CISO,California Independent System Operator,D,Demand,26978,megawatthours
2022-06-01T06,CISO,California Independent System Operator,DF,Day-ahead demand forecast,25657,megawatthours
2022-06-01T07,CISO,California Independent System Operator,D,Demand,24947,megawatthours
2022-06-01T07,CISO,California Independent System Operator,TI,Total interchange,-9006,megawatthours
2022-06-01T07,CISO,California Independent System Operator,NG,Net generation,14401,megawatthours
2022-06-01T07,CISO,California Independent System Operator,DF,Day-ahead demand forecast,23718,megawatthours
2022-06-01T08,CISO,California Independent System Operator,TI,Total interchange,-8753,megawatthours
2022-06-01T08,CISO,California Independent System Operator,DF,Day-ahead demand forecast,22552,megawatthours
2022-06-01T08,CISO,California Independent System Operator,D,Demand,23711,megawatthours
2022-06-01T08,CISO,California Independent System Operator,NG,Net generation,13326,megawatthours
2022-06-01T09,CISO,California Independent System Operator,D,Demand,22755,megawatthours
2022-06-01T09,CISO,California Independent System Operator,NG,Net generation,12326,megawatthours
2022-06-01T09,CISO,California Independent System Operator,TI,Total interchange,-8819,megawatthours
2022-06-01T09,CISO,California Independent System Operator,DF,Day-ahead demand forecast,21620,megawatthours
2022-06-01T10,CISO,California Independent System Operator,D,Demand,21895,megawatthours
2022-06-01T10,CISO,California Independent System Operator,TI,Total interchange,-8857,megawatthours
2022-06-01T10,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20932,megawatthours
2022-06-01T10,CISO,California Independent System Operator,NG,Net generation,11530,megawatthours
2022-06-01T11,CISO,California Independent System Operator,D,Demand,21352,megawatthours
2022-06-01T11,CISO,California Independent System Operator,DF,Day-ahead demand forecast,20526,megawatthours
2022-06-01T11,CISO,California Independent System Operator,TI,Total interchange,-8903,megawatthours
2022-06-01T11,CISO,California Independent System Operator,NG,Net generation,11554,megawatthours
2022-06-01T12,CISO,California Independent System Operator,D,Demand,21484,megawatthours
2022-06-01T12,CISO,California Independent System Operator,TI,Total interchange,-8910,megawatthours
2022-06-01T12,CISO,California Independent System Operator,NG,Net generation,11847,megawatthours
