BIOMASS,HYDRO_PUMPED_STORAGE,HYDRO_RUN_OF_RIVER,HARD_COAL,OTHER_GAS,OTHER_OIL,NUCLEAR,OTHER,WIND_ON_SHORE,WIND_OFF_SHORE,SOLAR,Grid Node,unit,start_datetime,Parent Node,end_datetime
1546.0,0.0,288.0,0.0,2848.0,0.0,6803.0,68.0,4653.628,4712.636,0.0,UK-GB,MWh,2022-01-01 00:00,,2022-01-01 01:00
1549.5,0.0,271.5,0.0,2877.0,0.0,6804.5,148.0,4972.552,4914.7775,1.0,UK-GB,MWh,2022-01-01 01:00,,2022-01-01 02:00
1564.0,0.0,262.0,0.0,3050.0,0.0,6804.0,147.5,5738.264,5081.1265,0.0,UK-GB,MWh,2022-01-01 02:00,,2022-01-01 03:00
1548.5,0.0,223.5,0.0,3242.5,0.0,6796.0,63.5,5859.1605,5296.616,0.0,UK-GB,MWh,2022-01-01 03:00,,2022-01-01 04:00
1534.0,0.0,219.0,0.0,2893.5,0.0,6799.0,68.5,5774.755999999999,5758.7145,0.0,UK-GB,MWh,2022-01-01 04:00,,2022-01-01 05:00
1541.0,0.0,230.5,0.0,2744.5,0.0,6796.5,55.5,5419.5085,6014.978999999999,0.0,UK-GB,MWh,2022-01-01 05:00,,2022-01-01 06:00
1594.5,0.0,220.0,0.0,2671.0,0.0,6797.5,60.0,5039.941500000001,6375.8335,0.0,UK-GB,MWh,2022-01-01 06:00,,2022-01-01 07:00
1606.5,0.0,234.0,0.0,2537.0,0.0,6804.0,55.5,5242.2775,6534.1135,0.5,UK-GB,MWh,2022-01-01 07:00,,2022-01-01 08:00
1487.5,0.0,277.5,0.0,2582.5,0.0,6805.5,66.0,5152.7970000000005,6705.334,0.5,UK-GB,MWh,2022-01-01 08:00,,2022-01-01 09:00
1330.5,0.0,285.0,0.0,2724.0,0.0,6811.0,58.0,5635.3595,6719.428,198.5,UK-GB,MWh,2022-01-01 09:00,,2022-01-01 10:00
1350.5,109.5,288.5,0.0,3104.5,0.0,6799.5,69.0,5807.06,6673.331,709.5,UK-GB,MWh,2022-01-01 10:00,,2022-01-01 11:00
1350.5,127.5,304.0,0.0,2768.5,0.0,6805.5,69.0,6073.477000000001,6731.5085,1090.0,UK-GB,MWh,2022-01-01 11:00,,2022-01-01 12:00
1453.0,588.0,276.5,0.0,2849.5,0.0,6798.0,127.5,6219.171,6632.465,1220.0,UK-GB,MWh,2022-01-01 12:00,,2022-01-01 13:00
1675.0,355.5,265.5,0.0,3323.5,0.0,6803.5,334.0,6453.3265,6620.2965,1190.0,UK-GB,MWh,2022-01-01 13:00,,2022-01-01 14:00
1678.0,349.0,236.0,0.0,3436.5,0.0,6799.5,154.0,6306.589,6734.9335,861.5,UK-GB,MWh,2022-01-01 14:00,,2022-01-01 15:00
1607.5,439.0,278.0,0.0,3582.0,0.0,6799.0,146.5,6109.7595,6884.463,288.5,UK-GB,MWh,2022-01-01 15:00,,2022-01-01 16:00
1437.0,928.5,369.5,0.0,4455.0,0.0,6792.0,147.0,5541.6455000000005,6826.2575,12.0,UK-GB,MWh,2022-01-01 16:00,,2022-01-01 17:00
1620.0,1947.5,366.0,0.0,5472.5,0.0,6795.5,280.5,5593.174999999999,6813.424,1.0,UK-GB,MWh,2022-01-01 17:00,,2022-01-01 18:00
1736.5,2034.5,409.0,0.0,5537.0,0.0,6796.5,356.5,5618.451,6399.935,0.0,UK-GB,MWh,2022-01-01 18:00,,2022-01-01 19:00
1591.5,1756.5,406.5,0.0,5472.0,0.0,6791.5,198.5,5368.386,6328.576,1.5,UK-GB,MWh,2022-01-01 19:00,,2022-01-01 20:00
1490.0,1203.5,369.5,0.0,4607.0,0.0,6793.5,140.0,5272.395,6347.2085,0.0,UK-GB,MWh,2022-01-01 20:00,,2022-01-01 21:00
1480.0,605.0,316.5,0.0,4378.0,0.0,6794.5,165.5,5233.1295,6128.424,1.0,UK-GB,MWh,2022-01-01 21:00,,2022-01-01 22:00
1470.0,261.0,291.0,0.0,3014.5,0.0,6788.0,168.0,5558.5945,5954.9655,0.0,UK-GB,MWh,2022-01-01 22:00,,2022-01-01 23:00
1673.5,82.0,244.0,0.0,2982.5,0.0,6792.5,159.5,5671.9515,6194.381,0.0,UK-GB,MWh,2022-01-01 23:00,,2022-01-02 00:00
