datetime,Grid Node To,Value,unit,Grid Node From,start_datetime,end_datetime
2022-08-01 00:30:00+00:00,BE,-828.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 00:30:00+00:00,FR,-2058.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 00:30:00+00:00,IE,12.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 00:30:00+00:00,NL,-516.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 00:30:00+00:00,NO,-1166.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 00:30:00+00:00,UK-NIR,150.0,MW,UK-GB,2022-08-01 00:30,2022-08-01 01:30
2022-08-01 01:00:00+00:00,BE,-828.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:00:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:00:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:00:00+00:00,NL,-516.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:00:00+00:00,NO,-1164.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:00:00+00:00,UK-NIR,202.0,MW,UK-GB,2022-08-01 01:00,2022-08-01 02:00
2022-08-01 01:30:00+00:00,BE,-1018.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 01:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 01:30:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 01:30:00+00:00,NL,-568.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 01:30:00+00:00,NO,-926.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 01:30:00+00:00,UK-NIR,170.0,MW,UK-GB,2022-08-01 01:30,2022-08-01 02:30
2022-08-01 02:00:00+00:00,BE,-1020.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:00:00+00:00,FR,-2062.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:00:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:00:00+00:00,NL,-568.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:00:00+00:00,NO,-908.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:00:00+00:00,UK-NIR,180.0,MW,UK-GB,2022-08-01 02:00,2022-08-01 03:00
2022-08-01 02:30:00+00:00,BE,-1020.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 02:30:00+00:00,FR,-2060.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 02:30:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 02:30:00+00:00,NL,-200.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 02:30:00+00:00,NO,-1074.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 02:30:00+00:00,UK-NIR,170.0,MW,UK-GB,2022-08-01 02:30,2022-08-01 03:30
2022-08-01 03:00:00+00:00,BE,-1020.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:00:00+00:00,FR,-2062.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:00:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:00:00+00:00,NL,-200.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:00:00+00:00,NO,-1092.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:00:00+00:00,UK-NIR,160.0,MW,UK-GB,2022-08-01 03:00,2022-08-01 04:00
2022-08-01 03:30:00+00:00,BE,-1020.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
2022-08-01 03:30:00+00:00,FR,-2062.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
2022-08-01 03:30:00+00:00,IE,0.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
2022-08-01 03:30:00+00:00,NL,-608.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
2022-08-01 03:30:00+00:00,NO,-1038.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
2022-08-01 03:30:00+00:00,UK-NIR,144.0,MW,UK-GB,2022-08-01 03:30,2022-08-01 04:30
