start_datetime,end_datetime,Topology Level,value,Grid Node,Parent Node,unit,Fuel Type
2023-04-15 00:00,2023-04-15 01:00,2,1963.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 01:00,2023-04-15 02:00,2,1964.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 02:00,2023-04-15 03:00,2,1964.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 03:00,2023-04-15 04:00,2,1963.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 04:00,2023-04-15 05:00,2,1962.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 05:00,2023-04-15 06:00,2,1963.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 06:00,2023-04-15 07:00,2,1962.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 07:00,2023-04-15 08:00,2,1960.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 08:00,2023-04-15 09:00,2,1960.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 09:00,2023-04-15 10:00,2,1959.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 10:00,2023-04-15 11:00,2,1959.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 11:00,2023-04-15 12:00,2,1957.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 12:00,2023-04-15 13:00,2,1957.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 13:00,2023-04-15 14:00,2,1957.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 14:00,2023-04-15 15:00,2,1954.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 15:00,2023-04-15 16:00,2,1954.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 16:00,2023-04-15 17:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 17:00,2023-04-15 18:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 18:00,2023-04-15 19:00,2,1954.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 19:00,2023-04-15 20:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 20:00,2023-04-15 21:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 21:00,2023-04-15 22:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 22:00,2023-04-15 23:00,2,1954.0,ES-ALMARAZ,ES,MWh,NUCLEAR
2023-04-15 23:00,2023-04-16 00:00,2,1953.0,ES-ALMARAZ,ES,MWh,NUCLEAR
