Grid Node,unit,Fuel Type,Value,Parent Node,Topology Level,value,start_datetime,end_datetime
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,967.0,2023-04-15 00:00,2023-04-15 01:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,967.0,2023-04-15 01:00,2023-04-15 02:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,967.0,2023-04-15 02:00,2023-04-15 03:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,966.0,2023-04-15 03:00,2023-04-15 04:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,966.0,2023-04-15 04:00,2023-04-15 05:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,966.0,2023-04-15 05:00,2023-04-15 06:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,965.0,2023-04-15 06:00,2023-04-15 07:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,963.0,2023-04-15 07:00,2023-04-15 08:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,963.0,2023-04-15 08:00,2023-04-15 09:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,962.0,2023-04-15 09:00,2023-04-15 10:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,962.0,2023-04-15 10:00,2023-04-15 11:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,961.0,2023-04-15 11:00,2023-04-15 12:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,961.0,2023-04-15 12:00,2023-04-15 13:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,961.0,2023-04-15 13:00,2023-04-15 14:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,959.0,2023-04-15 14:00,2023-04-15 15:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 15:00,2023-04-15 16:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 16:00,2023-04-15 17:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 17:00,2023-04-15 18:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 18:00,2023-04-15 19:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 19:00,2023-04-15 20:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 20:00,2023-04-15 21:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,957.0,2023-04-15 21:00,2023-04-15 22:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,958.0,2023-04-15 22:00,2023-04-15 23:00
ES-ALMARAZ-1,MWh,NUCLEAR,,ES-ALMARAZ,3,957.0,2023-04-15 23:00,2023-04-16 00:00
