Fuel Type,Value,Grid Node,unit,start_datetime,end_datetime
BIOMASS,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
BROWN_COAL,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
COAL_DERIVED_GAS,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
OTHER_GAS,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
HARD_COAL,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
OTHER_OIL,97,ES,MW,2022-01-01 00:00,2022-01-01 01:00
SHALE_OIL,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
PEAT,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
GEOTHERMAL,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
HYDRO_PUMPED_STORAGE,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
HYDRO_RUN_OF_RIVER,527,ES,MW,2022-01-01 00:00,2022-01-01 01:00
HYDRO_RESERVOIR,1676,ES,MW,2022-01-01 00:00,2022-01-01 01:00
HYDRO,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
NUCLEAR,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
OTHER,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
OTHER_RENEWABLE,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
SOLAR,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
WASTE,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
WIND_OFF_SHORE,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
WIND_ON_SHORE,0,ES,MW,2022-01-01 00:00,2022-01-01 01:00
