forecast,actual,Grid Node,start_datetime,end_datetime,unit
20111,20092,ES,2022-11-01 00:00,2022-11-01 01:00,MWh
19919,19868,ES,2022-11-01 00:15,2022-11-01 01:15,MWh
19766,19540,ES,2022-11-01 00:30,2022-11-01 01:30,MWh
19634,19448,ES,2022-11-01 00:45,2022-11-01 01:45,MWh
19554,19220,ES,2022-11-01 01:00,2022-11-01 02:00,MWh
19396,19056,ES,2022-11-01 01:15,2022-11-01 02:15,MWh
19199,18940,ES,2022-11-01 01:30,2022-11-01 02:30,MWh
18984,18808,ES,2022-11-01 01:45,2022-11-01 02:45,MWh
18696,18764,ES,2022-11-01 02:00,2022-11-01 03:00,MWh
18531,18656,ES,2022-11-01 02:15,2022-11-01 03:15,MWh
18425,18548,ES,2022-11-01 02:30,2022-11-01 03:30,MWh
18370,18404,ES,2022-11-01 02:45,2022-11-01 03:45,MWh
18316,18540,ES,2022-11-01 03:00,2022-11-01 04:00,MWh
18312,18448,ES,2022-11-01 03:15,2022-11-01 04:15,MWh
18315,18308,ES,2022-11-01 03:30,2022-11-01 04:30,MWh
18336,18368,ES,2022-11-01 03:45,2022-11-01 04:45,MWh
18293,18484,ES,2022-11-01 04:00,2022-11-01 05:00,MWh
18398,18412,ES,2022-11-01 04:15,2022-11-01 05:15,MWh
18563,18336,ES,2022-11-01 04:30,2022-11-01 05:30,MWh
18764,18404,ES,2022-11-01 04:45,2022-11-01 05:45,MWh
19033,18604,ES,2022-11-01 05:00,2022-11-01 06:00,MWh
19220,18724,ES,2022-11-01 05:15,2022-11-01 06:15,MWh
19362,18848,ES,2022-11-01 05:30,2022-11-01 06:30,MWh
19466,18992,ES,2022-11-01 05:45,2022-11-01 06:45,MWh
19552,19284,ES,2022-11-01 06:00,2022-11-01 07:00,MWh
19623,19448,ES,2022-11-01 06:15,2022-11-01 07:15,MWh
19700,19328,ES,2022-11-01 06:30,2022-11-01 07:30,MWh
19797,19232,ES,2022-11-01 06:45,2022-11-01 07:45,MWh
19833,19312,ES,2022-11-01 07:00,2022-11-01 08:00,MWh
20016,19448,ES,2022-11-01 07:15,2022-11-01 08:15,MWh
20256,19688,ES,2022-11-01 07:30,2022-11-01 08:30,MWh
20532,20104,ES,2022-11-01 07:45,2022-11-01 08:45,MWh
20880,20396,ES,2022-11-01 08:00,2022-11-01 09:00,MWh
21140,20668,ES,2022-11-01 08:15,2022-11-01 09:15,MWh
21353,20908,ES,2022-11-01 08:30,2022-11-01 09:30,MWh
21523,21088,ES,2022-11-01 08:45,2022-11-01 09:45,MWh
21706,21304,ES,2022-11-01 09:00,2022-11-01 10:00,MWh
21818,21444,ES,2022-11-01 09:15,2022-11-01 10:15,MWh
21914,21400,ES,2022-11-01 09:30,2022-11-01 10:30,MWh
21995,21500,ES,2022-11-01 09:45,2022-11-01 10:45,MWh
22090,21572,ES,2022-11-01 10:00,2022-11-01 11:00,MWh
22134,21656,ES,2022-11-01 10:15,2022-11-01 11:15,MWh
22161,21564,ES,2022-11-01 10:30,2022-11-01 11:30,MWh
22183,21656,ES,2022-11-01 10:45,2022-11-01 11:45,MWh
22158,21584,ES,2022-11-01 11:00,2022-11-01 12:00,MWh
22222,21500,ES,2022-11-01 11:15,2022-11-01 12:15,MWh
22327,21688,ES,2022-11-01 11:30,2022-11-01 12:30,MWh
22460,21836,ES,2022-11-01 11:45,2022-11-01 12:45,MWh
22636,22068,ES,2022-11-01 12:00,2022-11-01 13:00,MWh
22773,22188,ES,2022-11-01 12:15,2022-11-01 13:15,MWh
22885,22476,ES,2022-11-01 12:30,2022-11-01 13:30,MWh
22953,22572,ES,2022-11-01 12:45,2022-11-01 13:45,MWh
23121,22544,ES,2022-11-01 13:00,2022-11-01 14:00,MWh
23044,22444,ES,2022-11-01 13:15,2022-11-01 14:15,MWh
22876,22072,ES,2022-11-01 13:30,2022-11-01 14:30,MWh
22646,21940,ES,2022-11-01 13:45,2022-11-01 14:45,MWh
22347,21640,ES,2022-11-01 14:00,2022-11-01 15:00,MWh
22111,21460,ES,2022-11-01 14:15,2022-11-01 15:15,MWh
21921,21136,ES,2022-11-01 14:30,2022-11-01 15:30,MWh
21772,21320,ES,2022-11-01 14:45,2022-11-01 15:45,MWh
21612,21176,ES,2022-11-01 15:00,2022-11-01 16:00,MWh
21507,21016,ES,2022-11-01 15:15,2022-11-01 16:15,MWh
21415,20980,ES,2022-11-01 15:30,2022-11-01 16:30,MWh
21373,21072,ES,2022-11-01 15:45,2022-11-01 16:45,MWh
21143,21084,ES,2022-11-01 16:00,2022-11-01 17:00,MWh
21351,21244,ES,2022-11-01 16:15,2022-11-01 17:15,MWh
21734,21308,ES,2022-11-01 16:30,2022-11-01 17:30,MWh
22227,21688,ES,2022-11-01 16:45,2022-11-01 17:45,MWh
22924,22252,ES,2022-11-01 17:00,2022-11-01 18:00,MWh
23377,23052,ES,2022-11-01 17:15,2022-11-01 18:15,MWh
23698,23680,ES,2022-11-01 17:30,2022-11-01 18:30,MWh
23913,23956,ES,2022-11-01 17:45,2022-11-01 18:45,MWh
24080,24284,ES,2022-11-01 18:00,2022-11-01 19:00,MWh
24228,24544,ES,2022-11-01 18:15,2022-11-01 19:15,MWh
24403,24736,ES,2022-11-01 18:30,2022-11-01 19:30,MWh
