"Time interval","Area","Type","Generation Unit","MTU","Generation [MW]","Consumption [MW]"
"15.04.2023 00:00 - 16.04.2023 00:00 (UTC)","CTA|ES","Nuclear","ALMARAZ 2",,"996 (VARY)","N/A"
,,,,"00:00 - 01:00","996",""
,,,,"01:00 - 02:00","997",""
,,,,"02:00 - 03:00","997",""
,,,,"03:00 - 04:00","997",""
,,,,"04:00 - 05:00","996",""
,,,,"05:00 - 06:00","997",""
,,,,"06:00 - 07:00","997",""
,,,,"07:00 - 08:00","997",""
,,,,"08:00 - 09:00","997",""
,,,,"09:00 - 10:00","997",""
,,,,"10:00 - 11:00","997",""
,,,,"11:00 - 12:00","996",""
,,,,"12:00 - 13:00","996",""
,,,,"13:00 - 14:00","996",""
,,,,"14:00 - 15:00","995",""
,,,,"15:00 - 16:00","996",""
,,,,"16:00 - 17:00","995",""
,,,,"17:00 - 18:00","995",""
,,,,"18:00 - 19:00","996",""
,,,,"19:00 - 20:00","995",""
,,,,"20:00 - 21:00","995",""
,,,,"21:00 - 22:00","996",""
,,,,"22:00 - 23:00","996",""
,,,,"23:00 - 00:00","996",""
