"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|ES","01.11.2022 00:00 - 01.11.2022 00:15 (UTC)","404","0","0","7048","264","96","0","0","0","","412","796","964","0","4980","12","92","44","220","0","4180"
"BZN|ES","01.11.2022 00:15 - 01.11.2022 00:30 (UTC)","424","0","0","7664","264","96","0","0","0","","400","788","696","0","4980","12","92","44","228","0","4040"
"BZN|ES","01.11.2022 00:30 - 01.11.2022 00:45 (UTC)","432","0","0","7820","264","92","0","0","0","","404","784","676","0","4980","12","92","44","224","0","3968"
"BZN|ES","01.11.2022 00:45 - 01.11.2022 01:00 (UTC)","420","0","0","7416","264","92","0","0","0","","404","776","720","0","4976","12","84","44","220","0","4024"
"BZN|ES","01.11.2022 01:00 - 01.11.2022 01:15 (UTC)","404","0","0","7228","264","92","0","0","0","","436","780","668","0","4980","12","88","44","224","0","3996"
"BZN|ES","01.11.2022 01:15 - 01.11.2022 01:30 (UTC)","412","0","0","7440","264","92","0","0","0","","596","780","560","0","4980","12","88","44","224","0","3960"
"BZN|ES","01.11.2022 01:30 - 01.11.2022 01:45 (UTC)","408","0","0","7312","264","92","0","0","0","","596","752","548","0","4980","16","88","44","220","0","4016"
"BZN|ES","01.11.2022 01:45 - 01.11.2022 02:00 (UTC)","400","0","0","7216","264","92","0","0","0","","596","756","476","0","4984","12","88","44","216","0","3968"
"BZN|ES","01.11.2022 02:00 - 01.11.2022 02:15 (UTC)","416","0","0","7288","264","92","0","0","0","","676","752","404","0","4980","12","92","44","216","0","3944"
"BZN|ES","01.11.2022 02:15 - 01.11.2022 02:30 (UTC)","428","0","0","7416","264","92","0","0","0","","724","752","388","0","4980","12","88","44","220","0","3908"
