"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"01.11.2022 00:00 - 01.11.2022 00:15","20111","20092"
"01.11.2022 00:15 - 01.11.2022 00:30","19919","19868"
"01.11.2022 00:30 - 01.11.2022 00:45","19766","19540"
"01.11.2022 00:45 - 01.11.2022 01:00","19634","19448"
"01.11.2022 01:00 - 01.11.2022 01:15","19554","19220"
"01.11.2022 01:15 - 01.11.2022 01:30","19396","19056"
"01.11.2022 01:30 - 01.11.2022 01:45","19199","18940"
"01.11.2022 01:45 - 01.11.2022 02:00","18984","18808"
"01.11.2022 02:00 - 01.11.2022 02:15","18696","18764"
"01.11.2022 02:15 - 01.11.2022 02:30","18531","18656"
"01.11.2022 02:30 - 01.11.2022 02:45","18425","18548"
"01.11.2022 02:45 - 01.11.2022 03:00","18370","18404"
"01.11.2022 03:00 - 01.11.2022 03:15","18316","18540"
"01.11.2022 03:15 - 01.11.2022 03:30","18312","18448"
"01.11.2022 03:30 - 01.11.2022 03:45","18315","18308"
"01.11.2022 03:45 - 01.11.2022 04:00","18336","18368"
"01.11.2022 04:00 - 01.11.2022 04:15","18293","18484"
"01.11.2022 04:15 - 01.11.2022 04:30","18398","18412"
"01.11.2022 04:30 - 01.11.2022 04:45","18563","18336"
"01.11.2022 04:45 - 01.11.2022 05:00","18764","18404"
"01.11.2022 05:00 - 01.11.2022 05:15","19033","18604"
"01.11.2022 05:15 - 01.11.2022 05:30","19220","18724"
"01.11.2022 05:30 - 01.11.2022 05:45","19362","18848"
"01.11.2022 05:45 - 01.11.2022 06:00","19466","18992"
"01.11.2022 06:00 - 01.11.2022 06:15","19552","19284"
"01.11.2022 06:15 - 01.11.2022 06:30","19623","19448"
"01.11.2022 06:30 - 01.11.2022 06:45","19700","19328"
"01.11.2022 06:45 - 01.11.2022 07:00","19797","19232"
"01.11.2022 07:00 - 01.11.2022 07:15","19833","19312"
"01.11.2022 07:15 - 01.11.2022 07:30","20016","19448"
"01.11.2022 07:30 - 01.11.2022 07:45","20256","19688"
"01.11.2022 07:45 - 01.11.2022 08:00","20532","20104"
"01.11.2022 08:00 - 01.11.2022 08:15","20880","20396"
"01.11.2022 08:15 - 01.11.2022 08:30","21140","20668"
"01.11.2022 08:30 - 01.11.2022 08:45","21353","20908"
"01.11.2022 08:45 - 01.11.2022 09:00","21523","21088"
"01.11.2022 09:00 - 01.11.2022 09:15","21706","21304"
"01.11.2022 09:15 - 01.11.2022 09:30","21818","21444"
"01.11.2022 09:30 - 01.11.2022 09:45","21914","21400"
"01.11.2022 09:45 - 01.11.2022 10:00","21995","21500"
"01.11.2022 10:00 - 01.11.2022 10:15","22090","21572"
"01.11.2022 10:15 - 01.11.2022 10:30","22134","21656"
"01.11.2022 10:30 - 01.11.2022 10:45","22161","21564"
"01.11.2022 10:45 - 01.11.2022 11:00","22183","21656"
"01.11.2022 11:00 - 01.11.2022 11:15","22158","21584"
"01.11.2022 11:15 - 01.11.2022 11:30","22222","21500"
"01.11.2022 11:30 - 01.11.2022 11:45","22327","21688"
"01.11.2022 11:45 - 01.11.2022 12:00","22460","21836"
"01.11.2022 12:00 - 01.11.2022 12:15","22636","22068"
